Auction_id,Auction_Desc,round_num,bidder_id,bidder_name,bip_name,bip_desc,bid_rnd_num,net_bid_amt,bid_amt
66,Advanced Wireless Services,161,5411426,"Cellular South Licenses, Inc.",AW-CMA265-A,"Fort Walton Beach, FL",52,"373,000","373,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-CMA266-A,"Glens Falls, NY",63,"166,000","166,000"
66,Advanced Wireless Services,161,15013410,KTC AWS Limited Partnership,AW-CMA267-A,"Sioux Falls, SD",58,"426,000","568,000"
66,Advanced Wireless Services,161,2644953,Paul Bunyan Rural Telephone Cooperative,AW-CMA276-A,"Grand Forks, ND-MN",24,"120,000","120,000"
66,Advanced Wireless Services,161,4059523,"NSIGHTTEL WIRELESS, LLC",AW-CMA277-A,"Sheboygan, WI",75,"868,000","868,000"
66,Advanced Wireless Services,161,1646165,"Blackfoot Telephone Cooperative, Inc.",AW-CMA268-A,"Billings, MT",3,"158,100","186,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-CMA269-A,"Cumberland, MD-WV",62,"442,000","442,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA270-A,"Bellingham, WA",21,"167,000","167,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-CMA271-A,"Kokomo, IN",52,"107,000","107,000"
66,Advanced Wireless Services,161,15024631,"Cavalier Wireless, LLC",AW-CMA272-A,"Gadsden, AL",81,"77,250","103,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA032-A,"Hartford-Bristol, CT",33,"8,505,000","8,505,000"
66,Advanced Wireless Services,161,15013204,"Atlantic Wireless, L.P.",AW-CMA033-A,"San Antonio, TX",73,"5,114,250","6,819,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA029-A,"New Orleans, LA",35,"6,016,000","6,016,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA030-A,"Portland, OR-WA",41,"13,292,000","13,292,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA031-A,"Columbus, OH",45,"7,369,000","7,369,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-CMA079-A,"Knoxville, TN",63,"2,449,000","2,449,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA080-A,"Baton Rouge, LA",86,"2,439,000","2,439,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA073-A,"Oxnard-Simi Valley-Ventura, CA",35,"3,936,000","3,936,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA074-A,"Fresno, CA",66,"4,142,000","4,142,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA075-A,"Austin, TX",41,"7,337,000","7,337,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA076-A,"New Bedford-Fall River, MA",33,"735,000","735,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA077-A,"Tucson, AZ",80,"2,215,000","2,215,000"
66,Advanced Wireless Services,161,3296480,Centennial Michiana License Company LLC,AW-CMA078-A,"Lansing-East Lansing, MI",31,"1,797,000","1,797,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-CMA071-A,"Raleigh-Durham, NC",51,"7,434,000","7,434,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA072-A,"West Palm Beach-Boca Raton, FL",37,"6,044,000","6,044,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-BEA007-C,Rochester NY-PA,65,"3,706,000","3,706,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-BEA008-B,Buffalo-Niagara Falls NY-PA,24,"1,693,000","1,693,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-BEA008-C,Buffalo-Niagara Falls NY-PA,74,"1,206,000","1,206,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA009-B,State College PA,77,"4,997,000","4,997,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-BEA006-C,Syracuse NY-PA,85,"5,618,000","5,618,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA007-B,Rochester NY-PA,59,"5,803,000","5,803,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-BEA009-C,State College PA,91,"1,282,000","1,282,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA010-B,NYC-Long Is. NY-NJ-CT-PA-MA-VT,20,"468,178,000","468,178,000"
66,Advanced Wireless Services,161,15005598,"MetroPCS AWS, LLC",AW-BEA010-C,NYC-Long Is. NY-NJ-CT-PA-MA-VT,41,"363,945,000","363,945,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA036-B,Dothan AL-FL-GA,37,"605,000","605,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA036-C,Dothan AL-FL-GA,72,"316,000","316,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA037-B,Albany GA,36,"855,000","855,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA037-C,Albany GA,53,"581,000","581,000"
66,Advanced Wireless Services,161,14980726,"Cingular AWS, LLC",AW-BEA040-C,Atlanta GA-AL-NC,34,"22,651,000","22,651,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA038-B,Macon GA,33,"1,752,000","1,752,000"
66,Advanced Wireless Services,161,15022023,AWS Wireless Inc.,AW-BEA038-C,Macon GA,44,"1,008,000","1,008,000"
66,Advanced Wireless Services,161,5411426,"Cellular South Licenses, Inc.",AW-BEA039-B,Columbus GA-AL,81,"1,140,000","1,140,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-BEA039-C,Columbus GA-AL,82,"1,175,000","1,175,000"
66,Advanced Wireless Services,161,15028434,SpectrumCo LLC,AW-BEA040-B,Atlanta GA-AL-NC,22,"35,313,000","35,313,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-CMA110-A,"Huntington-Ashland, WV-KY-OH",78,"1,331,000","1,331,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA111-A,"Vallejo-Fairfield-Napa, CA",66,"3,315,000","3,315,000"
66,Advanced Wireless Services,161,15024631,"Cavalier Wireless, LLC",AW-CMA112-A,"Corpus Christi, TX",72,"402,000","536,000"
66,Advanced Wireless Services,161,15019003,"Barat Wireless, L.P.",AW-CMA113-A,"Madison, WI",36,"634,500","846,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA114-A,"Lakeland-Winter Haven, FL",65,"2,482,000","2,482,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-CMA115-A,"Utica-Rome, NY",69,"847,000","847,000"
66,Advanced Wireless Services,161,3767324,American Cellular Corporation,AW-CMA116-A,"Lexington-Fayette, KY",77,"4,054,000","4,054,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA117-A,"Colorado Springs, CO",21,"564,000","564,000"
66,Advanced Wireless Services,161,1565449,T-Mobile License LLC,AW-CMA118-A,"Reading, PA",92,"2,191,000","2,191,000"
66,Advanced Wireless Services,161,15024631,"Cavalier Wireless, LLC",AW-CMA109-A,"Spokane, WA",118,"1,098,000","1,464,000"
66,Advanced Wireless Services,161,7693377,"Carolina West Wireless, Inc.",AW-CMA183-A,"Asheville, NC",58,"794,000","794,000"
66,Advanced Wireless Services,161,14820641,"MTA Communications, Inc.",AW-CMA187-A,"Anchorage, AK",4,"539,000","539,000"
66,Advanced Wireless Services,161,9927922,"Cricket Licensee (Reauction), Inc.",AW-CMA184-A,"Houma-Thibodaux, LA",37,"194,000","194,000"
