Auction_id,Auction_Desc,round_num,bip_name,bip_desc,price,prov_winner,pw_bid_rnd_num,prev_prov_winner,prev_pw_bid_rnd_num
66,Advanced Wireless Services,161,AW-CMA621-A,Pennsylvania 10 - Bedford,160000,AWS Wireless Inc.,81,AWS Wireless Inc.,81
66,Advanced Wireless Services,161,AW-CMA622-A,Pennsylvania 11 - Huntingdon,95000,AWS Wireless Inc.,81,AWS Wireless Inc.,81
66,Advanced Wireless Services,161,AW-CMA623-A,Pennsylvania 12 - Lebanon,72000,AWS Wireless Inc.,110,AWS Wireless Inc.,110
66,Advanced Wireless Services,161,AW-CMA624-A,Rhode Island 1 - Newport,51000,T-Mobile License LLC,21,T-Mobile License LLC,21
66,Advanced Wireless Services,161,AW-CMA625-A,South Carolina 1 - Oconee,48000,West Carolina Piedmont Bidding Consortium,33,West Carolina Piedmont Bidding Consortium,33
66,Advanced Wireless Services,161,AW-CMA626-A,South Carolina 2 - Laurens,1186000,West Carolina Piedmont Bidding Consortium,75,West Carolina Piedmont Bidding Consortium,75
66,Advanced Wireless Services,161,AW-CMA627-A,South Carolina 3 - Cherokee,1100000,Chester Telephone Company,81,Chester Telephone Company,81
66,Advanced Wireless Services,161,AW-CMA628-A,South Carolina 4 - Chesterfield,1179000,"Sandhill Communications, LLC",75,"Sandhill Communications, LLC",75
66,Advanced Wireless Services,161,AW-CMA629-A,South Carolina 5 - Georgetown,925000,"Horry Telephone Cooperative, Inc.",120,"Horry Telephone Cooperative, Inc.",120
66,Advanced Wireless Services,161,AW-CMA630-A,South Carolina 6 - Clarendon,666000,"FTC Management Group, Inc.",70,"FTC Management Group, Inc.",70
66,Advanced Wireless Services,161,AW-CMA631-A,South Carolina 7 - Calhoun,165000,"Cricket Licensee (Reauction), Inc.",70,"Cricket Licensee (Reauction), Inc.",70
66,Advanced Wireless Services,161,AW-CMA632-A,South Carolina 8 - Hampton,1477000,"Palmetto Rural Telephone Cooperative, Inc.",71,"Palmetto Rural Telephone Cooperative, Inc.",71
66,Advanced Wireless Services,161,AW-CMA633-A,South Carolina 9 - Lancaster,295000,"Comporium Wireless, LLC",83,"Comporium Wireless, LLC",83
66,Advanced Wireless Services,161,AW-CMA634-A,South Dakota 1 - Harding,21000,KTC AWS Limited Partnership,1,KTC AWS Limited Partnership,1
66,Advanced Wireless Services,161,AW-CMA635-A,South Dakota 2 - Corson,14000,KTC AWS Limited Partnership,1,KTC AWS Limited Partnership,1
66,Advanced Wireless Services,161,AW-CMA636-A,South Dakota 3 - McPherson,32000,KTC AWS Limited Partnership,1,KTC AWS Limited Partnership,1
66,Advanced Wireless Services,161,AW-CMA637-A,South Dakota 4 - Marshall,953000,KTC AWS Limited Partnership,102,KTC AWS Limited Partnership,102
66,Advanced Wireless Services,161,AW-CMA638-A,South Dakota 5 - Custer,16000,KTC AWS Limited Partnership,1,KTC AWS Limited Partnership,1
66,Advanced Wireless Services,161,AW-CMA639-A,South Dakota 6 - Haakon,59000,KTC AWS Limited Partnership,6,KTC AWS Limited Partnership,6
66,Advanced Wireless Services,161,AW-CMA640-A,South Dakota 7 - Sully,405000,KTC AWS Limited Partnership,46,KTC AWS Limited Partnership,46
66,Advanced Wireless Services,161,AW-CMA641-A,South Dakota 8 - Kingsbury,238000,KTC AWS Limited Partnership,58,KTC AWS Limited Partnership,58
66,Advanced Wireless Services,161,AW-CMA642-A,South Dakota 9 - Hanson,646000,KTC AWS Limited Partnership,105,KTC AWS Limited Partnership,105
66,Advanced Wireless Services,161,AW-CMA643-A,Tennessee 1 - Lake,478000,AWS Wireless Inc.,53,AWS Wireless Inc.,53
66,Advanced Wireless Services,161,AW-CMA644-A,Tennessee 2 - Cannon,106000,AWS Wireless Inc.,44,AWS Wireless Inc.,44
66,Advanced Wireless Services,161,AW-CMA645-A,Tennessee 3 - Macon,220000,AWS Wireless Inc.,44,AWS Wireless Inc.,44
66,Advanced Wireless Services,161,AW-CMA646-A,Tennessee 4 - Hamblen,811000,"Carolina West Wireless, Inc.",83,"Carolina West Wireless, Inc.",83
66,Advanced Wireless Services,161,AW-CMA647-A,Tennessee 5 - Fayette,222000,AWS Wireless Inc.,42,AWS Wireless Inc.,42
66,Advanced Wireless Services,161,AW-CMA648-A,Tennessee 6 - Giles,495000,"Cricket Licensee (Reauction), Inc.",79,"Cricket Licensee (Reauction), Inc.",79
66,Advanced Wireless Services,161,AW-CMA649-A,Tennessee 7 - Bledsoe,170000,AWS Wireless Inc.,64,AWS Wireless Inc.,64
