auction_id,auction_description,round,item_name,item_description,pwb_amount,net_pwb_amount,pw_bidder,round_of_pwb,previous_pw_bidder,round_of_previous_pwb,previous_pwb_amount,previous_net_pwb_amount
96,H Block,167,AH-BEA001-H,Bangor ME,"1,195,000","1,195,000",American H Block Wireless L.L.C.,114,American H Block Wireless L.L.C.,83,"1,086,000","1,086,000"
96,H Block,167,AH-BEA002-H,Portland ME,"2,573,000","2,573,000",American H Block Wireless L.L.C.,96,American H Block Wireless L.L.C.,81,"2,339,000","2,339,000"
96,H Block,167,AH-BEA003-H,Boston-Worcester MA-NH-RI-VT,"57,441,000","57,441,000",American H Block Wireless L.L.C.,41,CTM Spectrum LLC,37,"51,924,000","51,924,000"
96,H Block,167,AH-BEA004-H,Burlington VT-NY,"2,123,000","2,123,000",American H Block Wireless L.L.C.,112,American H Block Wireless L.L.C.,92,"1,930,000","1,930,000"
96,H Block,167,AH-BEA005-H,Albany-Schenectady-Troy NY,"3,633,000","3,633,000",American H Block Wireless L.L.C.,90,American H Block Wireless L.L.C.,81,"2,641,000","2,641,000"
96,H Block,167,AH-BEA006-H,Syracuse NY-PA,"7,796,000","7,796,000",American H Block Wireless L.L.C.,94,"Persons, Thomas E",93,"6,724,000","5,043,000"
96,H Block,167,AH-BEA007-H,Rochester NY-PA,"5,087,000","5,087,000",American H Block Wireless L.L.C.,94,American H Block Wireless L.L.C.,90,"4,598,000","4,598,000"
96,H Block,167,AH-BEA008-H,Buffalo-Niagara Falls NY-PA,"4,804,000","4,804,000",American H Block Wireless L.L.C.,94,American H Block Wireless L.L.C.,90,"4,330,000","4,330,000"
96,H Block,167,AH-BEA009-H,State College PA,"2,728,000","2,728,000",American H Block Wireless L.L.C.,102,American H Block Wireless L.L.C.,91,"2,480,000","2,480,000"
96,H Block,167,AH-BEA010-H,NYC-Long Is. NY-NJ-CT-PA-MA-VT,"216,955,000","216,955,000",American H Block Wireless L.L.C.,24,CTM Spectrum LLC,23,"188,272,000","188,272,000"
96,H Block,167,AH-BEA011-H,Harrisburg-Lebanon-Carlisle PA,"4,781,000","4,781,000",American H Block Wireless L.L.C.,106,American H Block Wireless L.L.C.,102,"4,321,000","4,321,000"
96,H Block,167,AH-BEA012-H,Phil.-Atl. City PA-NJ-DE-MD,"45,463,000","45,463,000",American H Block Wireless L.L.C.,33,CTM Spectrum LLC,32,"37,945,000","37,945,000"
96,H Block,167,AH-BEA013-H,Wash.-Balt. DC-MD-VA-WV-PA,"56,342,000","56,342,000",American H Block Wireless L.L.C.,20,CTM Spectrum LLC,19,"48,468,000","48,468,000"
96,H Block,167,AH-BEA014-H,Salisbury MD-DE-VA,"1,430,000","1,430,000",American H Block Wireless L.L.C.,165,American H Block Wireless L.L.C.,164,"1,217,000","1,217,000"
96,H Block,167,AH-BEA015-H,Richmond-Petersburg VA,"4,994,000","4,994,000",American H Block Wireless L.L.C.,81,American H Block Wireless L.L.C.,73,"4,538,000","4,538,000"
96,H Block,167,AH-BEA016-H,Staunton VA-WV,"807,000","807,000",American H Block Wireless L.L.C.,164,American H Block Wireless L.L.C.,114,"734,000","734,000"
96,H Block,167,AH-BEA017-H,Roanoke VA-NC-WV,"3,066,000","3,066,000",American H Block Wireless L.L.C.,112,American H Block Wireless L.L.C.,102,"2,787,000","2,787,000"
96,H Block,167,AH-BEA018-H,Greensboro-Winston-Salem NC-VA,"5,472,000","5,472,000",American H Block Wireless L.L.C.,73,American H Block Wireless L.L.C.,72,"4,752,000","4,752,000"
96,H Block,167,AH-BEA019-H,Raleigh-Durham-Chapel Hill NC,"8,189,000","8,189,000",American H Block Wireless L.L.C.,78,"Persons, Thomas E",77,"7,092,000","5,319,000"
96,H Block,167,AH-BEA020-H,Norfolk-Virginia Beach VA-NC,"7,115,000","7,115,000",American H Block Wireless L.L.C.,40,American H Block Wireless L.L.C.,9,"6,468,000","6,468,000"
96,H Block,167,AH-BEA021-H,Greenville NC,"2,351,000","2,351,000",American H Block Wireless L.L.C.,114,American H Block Wireless L.L.C.,94,"2,137,000","2,137,000"
96,H Block,167,AH-BEA022-H,Fayetteville NC,"1,272,000","1,272,000",American H Block Wireless L.L.C.,114,American H Block Wireless L.L.C.,81,"1,156,000","1,156,000"
96,H Block,167,AH-BEA023-H,Charlotte-Gastonia NC-SC,"7,145,000","7,145,000",American H Block Wireless L.L.C.,72,American H Block Wireless L.L.C.,67,"6,477,000","6,477,000"
96,H Block,167,AH-BEA024-H,Columbia SC,"4,697,000","4,697,000",American H Block Wireless L.L.C.,94,American H Block Wireless L.L.C.,91,"4,175,000","4,175,000"
96,H Block,167,AH-BEA025-H,Wilmington NC-SC,"3,482,000","3,482,000",American H Block Wireless L.L.C.,84,American H Block Wireless L.L.C.,81,"3,130,000","3,130,000"
